filepath,entropy,magic_mismatch,is_executable,file_size,modification_hour,size_zscore,anomaly_score,is_anomaly
/etc/manpaths,3.4682270867523113,0,0,36,8,-0.19972856791802354,0.15675029864979362,0
/etc/rc.common,5.042167853312112,0,0,1560,8,0.0,0.25001466920810145,0
/etc/auto_master,4.571726963642959,0,0,195,8,-0.19811466120973642,0.2599963679457557,0
/etc/csh.login,4.713211429072544,0,0,121,8,0.0,0.25849867611316546,0
/etc/syslog.conf,4.66765551279898,0,0,96,8,-0.6073865285651032,0.23553199112039236,0
/etc/csh.logout,4.436186437355485,0,0,39,8,0.0,0.2549092549326762,0
/etc/bashrc_Apple_Terminal,5.246065129973586,0,0,9309,8,-0.10560431064791975,0.23428042856080283,0
/etc/zshrc_Apple_Terminal,5.193865126919373,0,0,9335,8,-0.1053404013748665,0.2353683735147536,0
/etc/gettytab,5.169734542419985,0,0,5678,8,-0.14246025566547035,0.24578433273049904,0
/etc/kern_loader.conf,0.0,0,0,0,8,-0.6275513817738425,-0.07463513518337772,1
/etc/rtadvd.conf,4.684370753236611,0,0,891,8,-0.44039633793023136,0.2482344705591069,0
/etc/group,4.8239680512553385,0,0,3904,8,-0.16046698837302606,0.25846474892185534,0
/etc/auto_home,4.391596031383765,0,0,149,8,-0.19858157761590753,0.25809592027035366,0
/etc/shells,4.365932777301456,0,0,189,8,-0.19817556334967176,0.25776752767443395,0
/etc/ttys,4.958103161475743,0,0,1316,8,-0.1867361113984794,0.26033453010482693,0
/etc/paths,3.902665565097508,0,0,75,8,-0.19933270400844366,0.226391471673085,0
/etc/rmtab,0.0,0,0,0,8,-0.2000939807576357,-0.006807529511048016,1
/etc/xtab,0.0,0,0,0,8,-0.2000939807576357,-0.006807529511048016,1
/etc/pf.conf,4.58116773924791,0,0,1027,8,-0.4118294625511841,0.24900203130476123,0
/etc/bashrc,5.09142860199119,0,0,265,8,-0.19740413624382383,0.24901619004906977,0
/etc/irbrc,5.217487624474119,0,0,1299,8,-0.1869086674616296,0.24884982619992124,0
/etc/zshrc,5.111129443626969,0,0,3094,8,-0.1686887772643001,0.251505188777363,0
/etc/hosts.equiv,0.0,0,0,0,8,0.0,-0.017354467562334497,1
